,name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mood
196,Stitches,0.746,0.754,-6.684,0.0676,0.0152,0.0,0.0486,0.746,149.882,1,energetic
197,Baliw,0.65,0.601,-9.131,0.0265,0.135,0.000778,0.294,0.63,108.016,8,energetic
198,Dirty Mind,0.642,0.861,-3.837,0.294,0.0318,0.0,0.23,0.582,92.912,4,energetic
199,Play Date,0.68,0.729,-5.077,0.0475,0.612,0.0,0.224,0.446,123.97,5,energetic
200,Happier,0.687,0.792,-2.749,0.0452,0.191,0.0,0.167,0.671,100.015,5,happy
201,Heat Waves,0.761,0.525,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,11,happy
202,I Ain't Worried,0.704,0.797,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,139.994,0,happy
203,Sunshine,0.697,0.875,-4.621,0.034,0.137,0.0,0.28,0.774,140.069,5,happy
204,Bad Habits,0.807,0.893,-3.745,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,11,happy
205,Ain't My Fault,0.576,0.782,-4.825,0.0296,0.00778,0.0,0.285,0.355,141.153,6,happy
206,Havana (feat. Young Thug),0.765,0.523,-4.333,0.03,0.184,3.56e-05,0.132,0.394,104.988,2,happy
207,New Rules,0.762,0.7,-6.021,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,9,happy
208,Don't Let Me Down,0.532,0.869,-5.094,0.172,0.157,0.00508,0.136,0.422,159.803,11,happy
209,Titanium (feat. Sia),0.604,0.788,-3.673,0.103,0.0678,0.153,0.127,0.301,126.06,0,happy
210,Cheap Thrills,0.628,0.698,-5.608,0.105,0.0472,0.00143,0.0907,0.732,89.976,6,happy
211,Lean On (feat. MØ & DJ Snake),0.723,0.809,-3.081,0.0625,0.00346,0.00123,0.565,0.274,98.007,7,happy
212,No Ordinary Girl - Theme,0.452,0.894,-3.828,0.0485,0.00179,0.0,0.115,0.552,156.067,5,happy
213,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",0.669,0.832,-5.721,0.0682,0.0106,0.0,0.0968,0.7,113.035,0,happy
214,Ghost,0.601,0.741,-5.569,0.0478,0.185,2.91e-05,0.415,0.441,153.96,2,happy
215,Golden,0.448,0.838,-5.257,0.0557,0.21,0.000131,0.131,0.254,139.863,4,happy
216,Break My Heart,0.73,0.729,-3.434,0.0884,0.167,1.39e-06,0.349,0.467,113.011,4,happy
217,Sweet but Psycho,0.72,0.706,-4.719,0.0473,0.0684,0.0,0.166,0.62,133.002,1,happy
218,Sunflower - Spider-Man: Into the Spider-Verse,0.76,0.479,-5.574,0.0466,0.556,0.0,0.0703,0.913,89.911,2,happy
219,Unstoppable,0.485,0.843,-3.993,0.0467,0.00129,1.01e-05,0.14,0.602,78.001,1,happy
220,Demons,0.505,0.71,-3.015,0.0321,0.19,0.00025,0.329,0.428,89.938,3,happy
221,Thunder,0.605,0.822,-4.833,0.0438,0.00671,0.134,0.147,0.288,167.997,0,happy
222,Believer,0.776,0.78,-4.374,0.128,0.0622,0.0,0.081,0.666,124.949,10,happy
223,Radioactive,0.448,0.784,-3.686,0.0627,0.106,0.000108,0.668,0.236,136.245,9,happy
224,Rain On Me (with Ariana Grande),0.672,0.855,-3.764,0.0397,0.021,0.0,0.323,0.646,123.056,9,happy
225,Stressed Out,0.734,0.637,-5.677,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,4,happy
226,Counting Stars,0.664,0.705,-4.972,0.0382,0.0654,0.0,0.115,0.477,122.017,1,happy
227,On & On,0.451,0.692,-4.741,0.0398,0.287,0.0,0.115,0.423,174.122,11,happy
228,Old Church Choir,0.675,0.814,-5.816,0.0347,0.125,0.0,0.163,0.607,103.989,0,happy
229,Raise a Hallelujah (Studio Version),0.42,0.823,-4.889,0.0434,0.00985,0.0,0.103,0.517,163.997,1,happy
230,My Lighthouse,0.545,0.805,-5.792,0.0491,0.0326,0.0,0.781,0.727,110.005,0,happy
231,Survivor,0.528,0.805,-5.286,0.0359,0.0183,0.0,0.0839,0.148,107.01,11,happy
232,Who You Say I Am - Studio Version,0.376,0.65,-8.147,0.0406,0.00406,0.0,0.089,0.321,171.907,6,happy
233,Call Me Maybe,0.783,0.58,-6.548,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,7,happy
234,Pompeii,0.679,0.715,-6.383,0.0407,0.0755,0.0,0.271,0.571,127.435,9,happy
235,Shut Up and Dance,0.578,0.866,-3.804,0.0619,0.00701,0.0,0.257,0.619,128.038,1,happy
236,"Hey, Soul Sister",0.673,0.886,-4.44,0.0431,0.185,0.0,0.0826,0.795,97.012,1,happy
237,Chandelier,0.399,0.787,-2.88,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,1,happy
238,Diamonds,0.564,0.71,-4.92,0.0461,0.00125,0.0,0.109,0.393,91.972,11,happy
239,Lips Are Movin,0.775,0.825,-5.402,0.0464,0.0506,1.03e-06,0.111,0.95,139.091,7,happy
240,Fight Song,0.564,0.714,-4.987,0.129,0.0549,0.0,0.155,0.33,175.924,7,happy
241,Shotgun,0.673,0.735,-4.733,0.0457,0.286,0.0,0.242,0.754,115.744,5,happy
242,Kings & Queens,0.637,0.69,-4.057,0.0405,0.00786,0.0,0.124,0.457,129.857,1,happy
243,Butter,0.759,0.459,-5.187,0.0948,0.00323,0.0,0.0906,0.695,109.997,8,happy
244,Dynamite,0.746,0.765,-4.41,0.0993,0.0112,0.0,0.0936,0.737,114.044,6,happy
245,Blinding Lights,0.513,0.796,-4.075,0.0629,0.00147,0.000209,0.0938,0.345,171.017,1,happy
246,Levitating (feat. DaBaby),0.702,0.825,-3.787,0.0601,0.00883,0.0,0.0674,0.915,102.977,6,happy
247,Memories,0.764,0.32,-7.209,0.0546,0.837,0.0,0.0822,0.575,91.019,11,happy
248,Dance Monkey,0.824,0.592,-6.4,0.0969,0.693,0.000158,0.178,0.54,98.074,6,happy
249,Only Human,0.795,0.496,-5.883,0.0722,0.108,0.0,0.0645,0.874,94.01,0,happy
250,Party In The U.S.A.,0.652,0.698,-4.667,0.042,0.00112,0.000115,0.0886,0.47,96.021,10,happy
251,Midnight Sky,0.699,0.805,-5.535,0.0345,0.00161,0.00177,0.249,0.232,109.976,4,happy
252,High Hopes,0.579,0.904,-2.729,0.0618,0.193,0.0,0.064,0.681,82.014,5,happy
253,Cake By The Ocean,0.77,0.75,-5.44,0.0533,0.166,0.0,0.0434,0.886,119.006,4,happy
254,Leave The Door Open,0.586,0.616,-7.964,0.0324,0.182,0.0,0.0927,0.719,148.088,5,happy
255,My Head & My Heart,0.614,0.934,-3.709,0.07,0.0697,0.0,0.121,0.436,116.001,9,happy
256,Wrecking Ball,0.53,0.422,-6.262,0.0342,0.407,0.0,0.107,0.349,119.964,5,happy
257,Complicated,0.585,0.776,-5.898,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,5,happy
258,Memories,0.775,0.327,-7.241,0.0557,0.841,0.0,0.0821,0.595,91.05,11,happy
259,Payphone,0.699,0.801,-4.526,0.0342,0.0114,0.0,0.327,0.618,110.014,11,happy
260,Something Just Like This,0.617,0.635,-6.769,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,11,happy
261,Someone You Loved,0.501,0.405,-5.679,0.0319,0.751,0.0,0.105,0.446,109.891,1,happy
262,Bad Day,0.599,0.785,-4.013,0.0309,0.448,0.00336,0.151,0.52,140.046,3,happy
263,Bad Dream,0.731,0.746,-3.43,0.0311,0.00104,5.73e-06,0.117,0.555,125.016,8,happy
264,"10,000 Hours (with Justin Bieber)",0.654,0.63,-4.644,0.0259,0.153,0.0,0.111,0.43,89.991,10,happy
265,Señorita,0.759,0.54,-6.039,0.0287,0.037,0.0,0.0945,0.75,116.947,9,happy
266,"Lose Yourself - From ""8 Mile"" Soundtrack",0.703,0.746,-4.718,0.257,0.00535,1.8e-05,0.357,0.0655,171.387,2,happy
267,Roar,0.554,0.772,-4.821,0.0418,0.00487,6.6e-06,0.354,0.455,179.984,7,happy
268,Firework,0.638,0.832,-5.039,0.049,0.141,0.0,0.113,0.648,124.071,8,happy
269,"Happy - From ""Despicable Me 2""",0.647,0.822,-4.662,0.183,0.219,0.0,0.0908,0.962,160.019,5,happy
270,Happy Dog,0.701,0.979,-5.907,0.551,0.922,0.016,0.139,0.733,83.564,2,happy
271,Gettin' Jiggy Wit It,0.881,0.874,-4.505,0.139,0.0175,1.14e-06,0.154,0.858,107.891,6,happy
272,Jump Around,0.854,0.71,-6.32,0.0795,0.0113,9.06e-05,0.166,0.818,106.893,4,happy
273,U Can't Touch This,0.867,0.517,-13.222,0.0875,0.00456,0.000339,0.0864,0.866,133.148,11,happy
274,Y.M.C.A.,0.75,0.785,-10.926,0.0591,0.0278,0.0,0.0601,0.752,126.361,6,happy
275,Who Let The Dogs Out,0.869,0.887,-4.505,0.0993,0.0605,0.0,0.148,0.784,129.221,0,happy
276,Cotton Eye Joe,0.738,0.937,-7.788,0.0668,0.0124,0.00206,0.0338,0.614,131.994,9,happy
277,The Fresh Prince of Bel-Air,0.824,0.684,-7.354,0.0935,0.00278,1.45e-06,0.0481,0.87,101.152,10,happy
278,It's Tricky,0.965,0.857,-8.458,0.17,0.00131,0.0,0.0726,0.951,127.656,11,happy
279,Jiggle Jiggle,0.864,0.412,-5.886,0.273,0.458,0.00087,0.124,0.654,99.992,1,happy
280,Animals,0.279,0.742,-6.46,0.0898,0.000185,0.0,0.593,0.328,189.868,4,happy
281,Astronaut In The Ocean,0.803,0.535,-10.844,0.11,0.173,0.0,0.273,0.367,150.026,2,happy
282,Shower,0.699,0.529,-7.548,0.0487,0.0317,3.59e-05,0.285,0.121,119.987,2,happy
283,Say So,0.804,0.672,-4.614,0.122,0.256,1.02e-05,0.0906,0.778,111.023,11,happy
284,HandClap,0.636,0.836,-3.004,0.0427,0.00609,0.000157,0.0828,0.715,139.956,8,happy
285,Talking to the Moon,0.498,0.59,-4.721,0.032,0.511,0.0,0.107,0.0784,145.867,1,happy
286,'Till I Collapse,0.559,0.84,-3.264,0.236,0.0706,0.0,0.0967,0.113,171.311,1,happy
287,Panini,0.703,0.594,-6.146,0.0752,0.342,0.0,0.123,0.475,153.848,5,happy
288,abc (nicer),0.694,0.545,-6.06,0.0446,0.252,0.0,0.38,0.418,121.858,4,happy
289,Running Up That Hill (A Deal With God) - 2018 Remaster,0.625,0.533,-11.903,0.0596,0.659,0.00266,0.0546,0.139,108.296,10,happy
290,HOLIDAY,0.817,0.506,-6.996,0.166,0.122,0.0,0.0846,0.807,151.975,5,happy
291,Lemonade,0.803,0.612,-6.27,0.0653,0.196,0.0,0.111,0.48,140.119,1,happy
292,For The Night (feat. Lil Baby & DaBaby),0.817,0.585,-6.782,0.1,0.103,0.0,0.184,0.422,125.952,6,happy
293,Element,0.708,0.865,-4.253,0.414,0.0287,8.11e-06,0.24,0.301,184.063,9,happy
294,Kiss Me Slowly,0.47,0.801,-6.426,0.0352,0.0758,3.53e-05,0.218,0.431,173.92,9,happy
295,Lucid Dreams,0.543,0.575,-7.155,0.211,0.352,0.0,0.28,0.234,83.941,6,happy
296,Legends,0.581,0.825,-4.659,0.0694,0.119,0.0,0.149,0.353,142.012,8,happy
297,Old Town Road,0.907,0.53,-6.112,0.127,0.0578,2.23e-06,0.101,0.507,135.998,1,happy
298,Closer,0.748,0.524,-5.599,0.0338,0.414,0.0,0.111,0.661,95.01,8,happy
299,Darkside,0.43,0.606,-5.115,0.0431,0.131,0.0,0.173,0.123,169.988,4,happy
300,"What Was I Made For? [From The Motion Picture ""Barbie""]",0.444,0.0911,-17.665,0.0307,0.959,1.05e-06,0.098,0.142,78.403,0,sad
301,7 Years,0.765,0.472,-5.837,0.052,0.291,0.0,0.389,0.352,119.946,10,sad
302,Another Love,0.445,0.537,-8.532,0.04,0.695,1.65e-05,0.0944,0.131,122.769,4,sad
303,Easy On Me,0.604,0.366,-7.519,0.0282,0.578,0.0,0.133,0.13,141.981,5,sad
304,Daylight,0.508,0.43,-9.475,0.0335,0.83,0.000441,0.093,0.324,130.09,2,sad
305,vampire,0.511,0.532,-5.745,0.056,0.169,0.0,0.311,0.322,137.827,5,sad
306,lovely (with Khalid),0.351,0.296,-10.109,0.0333,0.934,0.0,0.095,0.12,115.284,4,sad
307,Never Felt So Alone,0.436,0.409,-4.438,0.0533,0.499,0.000166,0.38,0.363,98.357,5,sad
308,SNAP,0.563,0.639,-8.205,0.0684,0.107,1.06e-05,0.446,0.518,169.985,0,sad
309,ceilings,0.516,0.322,-11.762,0.0292,0.473,0.00194,0.215,0.261,148.005,9,sad
310,hotline (edit),0.516,0.254,-16.027,0.0589,0.816,0.855,0.189,0.304,56.829,9,sad
311,drivers license,0.585,0.436,-8.761,0.0601,0.721,1.31e-05,0.105,0.132,143.874,10,sad
312,See You Again (feat. Charlie Puth),0.689,0.481,-7.503,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,10,sad
313,Glimpse of Us,0.44,0.317,-9.258,0.0531,0.891,4.78e-06,0.141,0.268,169.914,8,sad
314,I Fall Apart,0.556,0.538,-5.408,0.0382,0.0689,0.0,0.196,0.291,143.95,8,sad
315,changes,0.669,0.308,-10.068,0.029,0.883,0.0,0.0984,0.52,64.934,11,sad
316,Mockingbird,0.637,0.678,-3.798,0.266,0.209,0.0,0.156,0.254,84.039,0,sad
317,People,0.573,0.422,-7.621,0.0678,0.551,1.31e-05,0.102,0.693,124.357,10,sad
318,Until I Found You - Piano Version,0.603,0.148,-10.449,0.0279,0.927,0.0,0.101,0.228,95.451,7,sad
319,All of Me,0.422,0.264,-7.064,0.0322,0.922,0.0,0.132,0.331,119.93,8,sad
320,Stackin' by the Plenty,0.52,0.45,-10.626,0.0351,0.621,0.0,0.0814,0.131,118.093,2,sad
321,Someone You Loved,0.501,0.405,-5.679,0.0319,0.751,0.0,0.105,0.446,109.891,1,sad
322,But Today,0.518,0.32,-10.424,0.0266,0.385,0.00229,0.0841,0.173,107.826,4,sad
323,Where's My Love,0.608,0.358,-10.018,0.0253,0.854,0.0186,0.113,0.365,103.94,0,sad
324,Nobody Gets Me,0.358,0.284,-8.285,0.0285,0.805,0.0,0.183,0.276,99.796,7,sad
325,Wait,0.426,0.228,-10.552,0.0322,0.203,0.14,0.0832,0.0826,147.986,2,sad
326,Arcade,0.45,0.329,-12.603,0.0441,0.818,0.00109,0.135,0.266,71.884,9,sad
327,Ghost,0.604,0.741,-5.571,0.0475,0.178,3.49e-05,0.409,0.473,153.947,2,sad
328,Little Sweet Lover,0.666,0.645,-4.264,0.0273,0.204,0.0,0.168,0.405,105.93,0,sad
329,Birds,0.649,0.517,-7.428,0.0297,0.0146,1.63e-06,0.145,0.35,119.997,1,sad
330,Let Me Down Slowly,0.652,0.557,-5.714,0.0318,0.74,0.0,0.124,0.483,150.073,1,sad
331,Maybe,0.69,0.537,-7.338,0.0278,0.218,0.0,0.0732,0.88,75.016,9,sad
332,Here With Me,0.574,0.469,-8.209,0.0254,0.534,9.21e-05,0.128,0.288,132.023,4,sad
333,THE LONELIEST,0.525,0.599,-5.001,0.0281,0.00151,0.0,0.0762,0.226,129.841,2,sad
334,YOUR WINDOW,0.712,0.439,-15.013,0.0463,0.378,0.0,0.102,0.47,130.946,8,sad
335,everything i wanted,0.704,0.225,-14.454,0.0994,0.902,0.657,0.106,0.243,120.006,6,sad
336,Video Games,0.236,0.249,-9.595,0.0348,0.811,1e-06,0.087,0.181,72.847,6,sad
337,Je te laisserai des mots,0.303,0.187,-16.757,0.0356,0.989,0.489,0.101,0.213,132.731,2,sad
338,golden hour,0.515,0.593,-4.801,0.0322,0.653,0.162,0.25,0.153,94.467,4,sad
339,Irreplaceable,0.815,0.464,-9.989,0.0572,0.784,0.0,0.0894,0.603,114.001,8,sad
340,Experience,0.382,0.422,-10.699,0.037,0.934,0.95,0.0695,0.0368,92.378,2,sad
341,The Night We Met,0.544,0.369,-9.514,0.038,0.969,0.279,0.639,0.102,87.01,2,sad
342,Runaway,0.542,0.304,-9.08,0.0346,0.638,0.000118,0.106,0.12,114.827,11,sad
343,Bored,0.614,0.318,-12.695,0.0478,0.896,0.00239,0.0795,0.112,119.959,7,sad
344,Love You Still (abcdefu romantic version),0.712,0.0784,-19.067,0.0544,0.739,0.0,0.107,0.642,121.443,4,sad
345,Say You Won't Let Go,0.358,0.557,-7.398,0.059,0.695,0.0,0.0902,0.494,85.043,10,sad
346,Before You Go,0.459,0.575,-4.858,0.0573,0.604,0.0,0.0885,0.183,111.881,3,sad
347,Traffic,0.308,0.415,-6.874,0.0317,0.563,0.0,0.103,0.129,78.612,0,sad
348,WITHOUT YOU,0.662,0.413,-7.357,0.0299,0.213,0.0,0.134,0.467,93.005,0,sad
349,1-800-273-8255,0.62,0.574,-7.788,0.0479,0.569,0.0,0.19,0.357,100.023,5,sad
350,Sign of the Times,0.516,0.595,-4.63,0.0313,0.0275,0.0,0.109,0.222,119.972,5,sad
351,How Do I Say Goodbye,0.4,0.641,-6.303,0.0674,0.214,0.0,0.0656,0.393,81.552,8,sad
352,Skinny Love,0.379,0.29,-8.485,0.051,0.952,0.00106,0.118,0.169,166.467,4,sad
353,Mercy - Acoustic,0.458,0.347,-6.651,0.0381,0.712,0.0,0.11,0.431,78.928,11,sad
354,Sweater Weather,0.606,0.328,-7.824,0.0305,0.876,0.0,0.138,0.393,124.041,10,sad
355,"Read All About It, Pt. III",0.63,0.44,-7.186,0.0249,0.822,3.87e-06,0.0926,0.343,98.082,2,sad
356,Someone Like You,0.556,0.319,-8.251,0.0281,0.893,0.0,0.0996,0.294,135.187,9,sad
357,You Are The Reason,0.329,0.235,-7.699,0.0303,0.918,0.0,0.137,0.22,171.006,10,sad
358,Walked Through Hell,0.508,0.404,-11.092,0.0788,0.664,0.0,0.104,0.129,81.713,10,sad
359,Hold On,0.618,0.443,-9.681,0.0526,0.469,0.0,0.0829,0.167,119.949,2,sad
360,River Flows In You,0.32,0.242,-19.773,0.0498,0.987,0.949,0.0924,0.115,145.722,9,sad
361,Negative,0.736,0.53,-10.681,0.23,0.652,0.0195,0.216,0.298,120.02,1,sad
362,Can We Kiss Forever?,0.522,0.128,-18.717,0.0357,0.894,0.026,0.0941,0.124,109.986,4,sad
363,Night Trouble,0.411,0.364,-15.335,0.0743,0.951,0.93,0.126,0.0685,95.967,1,sad
364,Little Games,0.552,0.748,-8.866,0.0303,0.00374,2.05e-05,0.209,0.569,107.007,2,sad
365,Shallow,0.572,0.385,-6.362,0.0308,0.371,0.0,0.231,0.323,95.799,7,sad
366,NUMB,0.414,0.416,-8.024,0.0251,0.1,0.179,0.131,0.196,159.91,11,sad
367,Halo,0.508,0.72,-5.908,0.0628,0.272,0.0,0.0563,0.472,79.983,11,sad
368,Dandelions,0.609,0.692,-2.958,0.0259,0.0157,0.0,0.0864,0.454,116.959,1,sad
369,caught up,0.385,0.31,-12.866,0.0505,0.641,0.0,0.265,0.536,176.111,8,sad
370,Paradise,0.449,0.585,-6.761,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631,5,sad
371,Space Bound,0.668,0.886,-3.474,0.117,0.0417,0.0,0.459,0.503,142.002,0,sad
372,HAPPY,0.732,0.855,-4.064,0.0415,0.306,0.0,0.12,0.221,106.004,7,sad
373,Walk Away,0.496,0.341,-8.623,0.028,0.667,8.2e-05,0.114,0.142,139.831,4,sad
374,Apologize,0.656,0.609,-6.025,0.0285,0.0357,0.0,0.0973,0.0872,118.036,8,sad
375,Unsteady,0.389,0.665,-6.169,0.0644,0.178,0.000732,0.116,0.199,117.055,0,sad
376,If the World Was Ending (feat. Julia Michaels),0.464,0.473,-10.086,0.129,0.866,0.0,0.109,0.604,75.801,1,sad
377,When I Was Your Man,0.612,0.28,-8.648,0.0434,0.932,0.0,0.088,0.387,72.795,0,sad
378,silhouette,0.625,0.241,-10.449,0.0338,0.811,0.0,0.102,0.14,117.065,11,sad
379,Falling,0.567,0.267,-6.502,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,4,sad
380,Uncover,0.556,0.529,-4.464,0.025,0.4,0.0,0.268,0.308,89.887,2,sad
381,A Thousand Years,0.423,0.407,-7.45,0.0267,0.312,0.000961,0.11,0.161,139.048,10,sad
382,traitor,0.38,0.339,-7.885,0.0338,0.691,0.0,0.12,0.0849,100.607,3,sad
383,"Love Me Like You Do - From ""Fifty Shades Of Grey""",0.262,0.606,-6.646,0.0484,0.247,0.0,0.125,0.275,189.857,8,sad
384,Wrecking Ball,0.53,0.422,-6.262,0.0342,0.407,0.0,0.107,0.349,119.964,5,sad
385,All Of The Girls You Loved Before,0.718,0.467,-9.66,0.0398,0.707,6.92e-05,0.126,0.396,95.96,2,sad
386,Without Me,0.752,0.488,-7.05,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,6,sad
387,Lucid Dreams,0.511,0.566,-7.23,0.2,0.349,0.0,0.34,0.218,83.903,6,sad
388,The One That Got Away - Acoustic,0.714,0.434,-11.542,0.0396,0.697,0.0,0.0919,0.352,123.942,4,sad
389,Let Me Love You - Andrew Watt Acoustic Remix,0.689,0.379,-6.256,0.0305,0.773,0.0,0.104,0.47,100.029,0,sad
390,Over the Rainbow,0.671,0.153,-13.569,0.0404,0.912,5.53e-05,0.0771,0.658,85.6,0,sad
391,"Hey, Soul Sister",0.673,0.886,-4.44,0.0431,0.185,0.0,0.0826,0.795,97.012,1,sad
392,Berlin,0.397,0.0666,-20.405,0.0383,0.963,0.158,0.107,0.0389,137.313,7,sad
393,All I Want,0.209,0.412,-9.733,0.0443,0.172,0.15,0.0843,0.162,86.26,0,sad
394,Jocelyn Flores,0.872,0.391,-9.144,0.242,0.469,4.13e-06,0.297,0.437,134.021,0,sad
395,Good News,0.794,0.32,-12.92,0.173,0.853,0.134,0.112,0.241,174.088,1,sad
396,Stay,0.621,0.31,-10.164,0.0283,0.945,6.12e-05,0.117,0.125,111.893,9,sad
397,Way down We Go,0.489,0.505,-8.022,0.117,0.579,0.000333,0.104,0.337,163.255,10,sad
398,Clocks,0.577,0.749,-7.215,0.0279,0.599,0.0115,0.183,0.255,130.97,5,sad
399,I'm Yours,0.703,0.444,-9.331,0.0417,0.559,0.0,0.0973,0.712,150.96,11,sad
